"","Treatment","Fluor","Conc","Replicate"
"65","Saccharin-100mg/L",129930.666666667,100,"1"
"66","FETAX Testo",1199637.33333333,0,"1"
"67","Saccharin-0,01mg/L + Testostérone",2594390.66666667,0.01,"1"
"68","Saccharin-0,1mg/L + Testostérone",34442,0.1,"1"
"69","Saccharin-1mg/L + Testostérone",2897908.33333333,1,"1"
"70","Saccharin-10mg/L + Testostérone",1342697,10,"1"
"71","Saccharin-100mg/L + Testostérone",758387.333333333,100,"1"
"72","FETAX",87979.5,0,"1"
"73","Saccharin-0,01mg/L",30822.6666666667,0.01,"1"
"74","Saccharin-0,1mg/L",21572,0.1,"1"
"75","Saccharin-1mg/L",124588,1,"1"
"76","Saccharin-10mg/L",88502.3333333333,10,"1"
"77","Saccharin-100mg/L",14196.3333333333,100,"1"
"78","FETAX Testo",2409685.33333333,0,"1"
"79","Saccharin-0,01mg/L + Testostérone",616769,0.01,"1"
"80","Saccharin-0,1mg/L + Testostérone",2131280,0.1,"1"
"81","Saccharin-1mg/L + Testostérone",2695690.66666667,1,"1"
"82","Saccharin-10mg/L + Testostérone",41212.3333333333,10,"1"
"83","Saccharin-100mg/L + Testostérone",1276827.33333333,100,"1"
"84","FETAX",102857.666666667,0,"1"
"85","Saccharin-0,01mg/L",7830.33333333333,0.01,"1"
"86","Saccharin-0,1mg/L",539666,0.1,"1"
"87","Saccharin-1mg/L",59943.6666666667,1,"1"
"88","Saccharin-10mg/L",91242,10,"1"
"89","Saccharin-100mg/L",58400.6666666667,100,"1"
"90","FETAX Testo",1684759.66666667,0,"1"
"91","Saccharin-0,01mg/L + Testostérone",2617527.33333333,0.01,"1"
"92","Saccharin-0,1mg/L + Testostérone",820501.333333333,0.1,"1"
"93","Saccharin-1mg/L + Testostérone",30123.3333333333,1,"1"
"94","Saccharin-10mg/L + Testostérone",1719346,10,"1"
"95","Saccharin-100mg/L + Testostérone",593957,100,"1"
"96","FETAX Testo",416808,0,"1"
"97","FETAX Testo",2236416,0,"1"
"98","FETAX Testo",3280022,0,"1"
"99","FETAX Testo",2157052,0,"1"
"100","FETAX Testo",2469175.33333333,0,"1"
"101","FETAX Testo",92071.3333333333,0,"1"
"102","FETAX Testo",1925392,0,"1"
"103","FETAX Testo",702366,0,"1"
"104","FETAX",100778,0,"2"
"105","Saccharin-0,01mg/L",207748.333333333,0.01,"2"
"106","Saccharin-0,1mg/L",82345,0.1,"2"
"107","Saccharin-1mg/L",232090.5,1,"2"
"108","Saccharin-10mg/L",70467.6666666667,10,"2"
"109","Saccharin-100mg/L",116237.666666667,100,"2"
"110","FETAX Testo",2349115.33333333,0,"2"
"111","Saccharin-0,01mg/L + Testostérone",356414,0.01,"2"
"112","Saccharin-0,1mg/L + Testostérone",1325572.66666667,0.1,"2"
"113","Saccharin-1mg/L + Testostérone",1523631.33333333,1,"2"
"114","Saccharin-10mg/L + Testostérone",3748439,10,"2"
"115","Saccharin-100mg/L + Testostérone",753549.666666667,100,"2"
"116","FETAX",25937.6666666667,0,"2"
"117","Saccharin-0,01mg/L",234527,0.01,"2"
"118","Saccharin-0,1mg/L",92279.6666666667,0.1,"2"
"119","Saccharin-1mg/L",406197,1,"2"
"120","Saccharin-10mg/L",66436.3333333333,10,"2"
"121","Saccharin-100mg/L",92529.5,100,"2"
"122","FETAX Testo",2667133.66666667,0,"2"
"123","Saccharin-0,01mg/L + Testostérone",1704798,0.01,"2"
"124","Saccharin-0,1mg/L + Testostérone",4052819,0.1,"2"
"125","Saccharin-1mg/L + Testostérone",401558.666666667,1,"2"
"126","Saccharin-10mg/L + Testostérone",3640982,10,"2"
"127","Saccharin-100mg/L + Testostérone",2907814.66666667,100,"2"
"128","FETAX",75478.3333333333,0,"2"
"129","Saccharin-0,01mg/L",317430.666666667,0.01,"2"
"130","Saccharin-0,1mg/L",142349.333333333,0.1,"2"
"131","Saccharin-1mg/L",127553,1,"2"
"132","Saccharin-100mg/L",51208.6666666667,100,"2"
"133","FETAX Testo",1668063.33333333,0,"2"
"134","Saccharin-0,01mg/L + Testostérone",1077739,0.01,"2"
"135","Saccharin-0,1mg/L + Testostérone",1367506.33333333,0.1,"2"
"136","Saccharin-1mg/L + Testostérone",1607490.5,1,"2"
"137","Saccharin-10mg/L + Testostérone",277237.666666667,10,"2"
"138","Saccharin-100mg/L + Testostérone",540819.333333333,100,"2"
"139","FETAX",169164.333333333,0,"2"
"140","Saccharin-0,01mg/L",771823.333333333,0.01,"2"
"141","Saccharin-0,1mg/L",95738,0.1,"2"
"142","Saccharin-1mg/L",70569.3333333333,1,"2"
"143","Saccharin-10mg/L",63441.3333333333,10,"2"
"144","Saccharin-100mg/L",101557.5,100,"2"
"145","FETAX Testo",1901988.66666667,0,"2"
"146","Saccharin-0,01mg/L + Testostérone",2129569.33333333,0.01,"2"
"147","Saccharin-0,1mg/L + Testostérone",2747818.33333333,0.1,"2"
"148","Saccharin-1mg/L + Testostérone",2706375.66666667,1,"2"
"149","Saccharin-10mg/L + Testostérone",887633,10,"2"
"150","Saccharin-100mg/L + Testostérone",844416.666666667,100,"2"
"151","FETAX",368849.333333333,0,"2"
"152","Saccharin-0,01mg/L",1367604.5,0.01,"2"
"153","Saccharin-0,1mg/L",454399.333333333,0.1,"2"
"154","Saccharin-1mg/L",145213.333333333,1,"2"
"155","Saccharin-10mg/L",149810.666666667,10,"2"
"156","Saccharin-100mg/L",54254,100,"2"
"157","FETAX Testo",1949201.66666667,0,"2"
"158","Saccharin-0,01mg/L + Testostérone",3009581.33333333,0.01,"2"
"159","Saccharin-0,1mg/L + Testostérone",2241985.33333333,0.1,"2"
"160","Saccharin-1mg/L + Testostérone",2701631.66666667,1,"2"
"161","Saccharin-10mg/L + Testostérone",2509587,10,"2"
"162","Saccharin-100mg/L + Testostérone",165894,100,"2"
"163","FETAX",26677.3333333333,0,"2"
"164","Saccharin-0,01mg/L",167794.333333333,0.01,"2"
"165","Saccharin-0,1mg/L",300825.333333333,0.1,"2"
"166","Saccharin-1mg/L",64434.6666666667,1,"2"
"167","Saccharin-10mg/L",182666,10,"2"
"168","Saccharin-100mg/L",123278.666666667,100,"2"
"169","FETAX Testo",394907,0,"2"
"170","Saccharin-0,01mg/L + Testostérone",1426393.66666667,0.01,"2"
"171","Saccharin-0,1mg/L + Testostérone",1279831.33333333,0.1,"2"
"172","Saccharin-1mg/L + Testostérone",74720.5,1,"2"
"173","Saccharin-10mg/L + Testostérone",1531497.66666667,10,"2"
"174","Saccharin-100mg/L + Testostérone",2949503,100,"2"
